lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline
Established,No observed activity,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,677,0.9719350073855244,0.9680351214969901,1.1816838995568686,218101.45499999984,206798.37749999992,99.0
Long-tenure,High engagement,No observed revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,306,0.8104575163398693,0.7865410785658614,4.166666666666667,252022.51749999993,199552.94666666654,136.67647058823528
Established,Medium engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,288,0.7916666666666666,0.811107281031566,1.0243055555555556,260671.0599999988,191022.0649999992,262.2083333333333
Established,High engagement,Low revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,390,0.8974358974358975,0.8525462331223561,1.7923076923076924,207342.2866666665,179224.5541666664,99.12735042735042
Long-tenure,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,5747,0.029580650774317034,0.026881551656734642,1.0542891943622759,5315500.872499908,157235.97499999995,149.0
Long-tenure,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4889,0.03599918183677644,0.03482106669851835,1.0572714256494171,4359341.024999942,153101.77999999988,143.64287175291471
Established,High engagement,Medium revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,251,0.7131474103585658,0.7144046418159016,1.8685258964143425,216263.66666666683,144538.12750000015,161.5763612217795
Unknown tenure,No observed activity,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,415,0.9927710843373494,0.9792792691027623,1.8120481927710843,131837.06249999962,130030.80999999963,149.0
Unknown tenure,No observed activity,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,447,0.9731543624161074,0.9635859016422429,1.9284116331096197,135301.7249999999,127606.76499999984,140.02237136465325
Early lifecycle,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,500,0.404,0.33526232943815687,1.094,332476.3649999996,124675.0050000001,149.0
Early lifecycle,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,3282,0.04570383912248629,0.055739470356194414,1.1273613650213286,2958554.429999993,119561.32499999998,149.0
Long-tenure,High engagement,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,15975,0.008200312989045383,0.0077137938676753075,1.00075117370892,12776554.147500467,103934.90250000003,99.0
Long-tenure,No observed activity,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,301,0.8604651162790697,0.8530827992334402,2.382059800664452,131422.42749999964,103771.2324999997,98.7873754152824
Early lifecycle,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2092,0.058317399617590825,0.054775772994339625,1.1218929254302104,1887579.0375000043,93198.94999999995,148.14818355640534
Early lifecycle,High engagement,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,369,0.42276422764227645,0.38632098022313,1.146341463414634,235914.18499999976,90869.48000000003,142.72086720867208
Unknown tenure,No observed activity,Low revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,390,0.9666666666666667,0.9488861196573624,1.3666666666666667,90470.50999999972,84160.14749999973,99.12820512820512
Established,No observed activity,Low revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,257,0.9727626459143969,0.9632698442813317,1.2023346303501945,74005.71749999988,70154.36999999985,99.0
Long-tenure,No observed activity,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,2292,0.028795811518324606,0.029173141747154678,1.9197207678883073,2285490.4041667213,65968.6408333333,152.85674810936592
Established,High engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,6305,0.006978588421887391,0.0087676799390304,1.0,8588481.589999981,62124.0425,204.74306106264868
Early lifecycle,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,1268,0.06072555205047318,0.058332084093363934,1.114353312302839,1134667.9825000013,58478.939999999995,149.08044164037855
Established,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,7461,0.006433453960595094,0.008175898577552321,1.0202385739177053,8579457.250000063,56153.630000000005,149.0
Long-tenure,High engagement,Low revenue,Low value,High risk,High risk / low value,Do not overspend,Automation only,2768,0.022398843930635837,0.017567774375489797,1.68135838150289,2341441.374999983,49465.16250000001,98.76697976878613
Unknown tenure,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,3329,0.021628116551516974,0.012661687340906573,1.1661159507359566,2159010.457499883,46856.81,132.15410033042957
Long-tenure,High engagement,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6639,0.007531254707034192,0.007699040905569128,1.0128031330019582,5304561.9791666325,40920.165000000015,99.0251041823568
Unknown tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,9963,0.005420054200542005,0.007495508039375286,1.0,7285119.952500585,39485.74499999997,149.0
Long-tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,6740,0.0057863501483679525,0.00700024645812958,1.2780415430267063,6233943.949999895,36071.7825,149.0
Established,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,5888,0.004245923913043478,0.007571457356670133,1.0171535326086956,6623572.052500057,28745.08000000001,145.2484714673913
Established,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,1257,0.024661893396976928,0.026906330225895544,1.1933174224343674,1040880.8475000049,25670.09250000002,149.0
Long-tenure,High engagement,Low revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1385,0.020216606498194945,0.01985533500710385,3.632490974729242,1216958.4483333335,23608.509166666667,103.10661853188927
Established,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,2785,0.006463195691202872,0.00822023744429603,1.02262118491921,3187159.1700000013,20871.175000000003,149.0
Established,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,894,0.02796420581655481,0.0304512556935187,1.1935123042505593,730177.6950000025,19812.48750000001,146.96420581655482
Unknown tenure,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6282,0.004297994269340974,0.007499538503118862,1.0,4592080.252499622,19742.8725,148.95367717287488
Long-tenure,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4587,0.004578155657292348,0.006966986796608418,1.2703291911925005,4203036.174999935,19423.267500000005,147.6106387617179
Unknown tenure,No observed activity,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,3721,0.0064498790647675355,0.00749550803937618,1.0,2893393.7499999483,18721.105000000003,149.0
Long-tenure,Medium engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,2432,0.007401315789473684,0.007591488915232969,1.1805098684210527,2508492.4800000284,18566.145000000004,149.0
Long-tenure,Medium engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,902,0.019955654101995565,0.023195299678527657,1.3503325942350333,925333.9550000087,18566.144999999997,149.0
Long-tenure,Medium engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,956,0.0198744769874477,0.0268231192623925,1.2573221757322175,927325.3275000044,17825.697500000002,140.88458856345883
Long-tenure,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,31032,0.000580046403712297,0.0007431169961015274,1.0,25054328.227504726,15238.079999999994,99.0
Unknown tenure,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,752,0.026595744680851064,0.0170816520525351,2.0013297872340425,549875.5600000106,14624.350000000004,149.0
Established,No observed activity,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,429,0.03496503496503497,0.027414362146162115,1.2004662004662006,374949.93250000064,13006.954999999998,149.0
Established,No observed activity,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,600,0.016666666666666666,0.02466623508856027,1.0033333333333334,609490.2450000023,10109.970000000001,189.58833333333334
Unknown tenure,No observed activity,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,364,0.04395604395604396,0.036466841324812156,1.0,197208.37499999936,9919.780000000002,248.1456043956044
Long-tenure,Medium engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1731,0.005199306759098787,0.007349931997349088,1.146735990756788,1734280.0800000136,9283.072500000002,144.73021374927788
Long-tenure,No observed activity,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,2544,0.003537735849056604,0.006982383961114733,1.2716194968553458,2470178.620000044,8697.130000000001,149.0
Long-tenure,Medium engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,278,0.03237410071942446,0.03516279854395007,1.223021582733813,335523.8683333336,8235.890000000001,235.51318944844124
Long-tenure,No observed activity,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,2268,0.0048500881834215165,0.006004564125694472,1.0,1491642.6525000432,7255.462500000001,99.0
Long-tenure,Medium engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,352,0.017045454545454544,0.02474478033216773,2.553977272727273,373426.3000000016,6188.715000000001,154.20454545454547
Long-tenure,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,6668,0.0005998800239952009,0.002510547592491202,1.0,8100001.3249998875,4658.485000000001,149.0
Long-tenure,High engagement,Low revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,376,0.007978723404255319,0.028965154059096967,20.64627659574468,718137.4524999999,4320.160000000001,230.58865248226965
Established,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,1070,0.004672897196261682,0.007030044595890103,1.0093457943925233,886032.2250000036,4140.337500000001,149.0
Long-tenure,Medium engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,930,0.004301075268817204,0.007459354389359762,1.6494623655913978,973229.6600000074,4125.81,151.17132616487456
Established,Medium engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,268,0.014925373134328358,0.028449369314718767,1.0,280769.87249999994,4059.51,205.82462686567163
Long-tenure,No observed activity,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,996,0.006024096385542169,0.006012606900196601,1.0,614703.3749999944,3758.040000000001,99.0
Long-tenure,No observed activity,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,608,0.004934210526315789,0.008298910629746933,1.0,718473.6000000025,3545.1000000000004,180.0
Established,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,898,0.004454342984409799,0.006916302652975869,1.0167037861915367,723025.1925000031,3312.2700000000004,144.87639198218264
Long-tenure,No observed activity,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,468,0.00641025641025641,0.03125473334856115,1.0021367521367521,572736.7100000011,3288.48,223.36324786324786
Unknown tenure,No observed activity,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,289,0.01384083044982699,0.017081652052534778,2.0484429065743943,224265.85999999836,3137.94,149.0
Long-tenure,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,11300,0.00026548672566371683,0.0019665515362443323,1.0,11888899.359999936,3015.5775,127.82548672566372
Established,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,12279,0.0002443195699975568,0.0016649047109515774,1.0,12315286.295000043,2978.3975,131.3608600048864
Unknown tenure,No observed activity,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4269,0.0011712344811431249,0.0005852873217718512,1.0,2099919.25,2453.75,100.23424689622863
Long-tenure,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,13106,0.0002289027926140699,0.0007457410560186916,1.0,10579484.272499435,2374.5150000000003,99.0
Early lifecycle,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1490,0.0020134228187919465,0.005527604179291476,1.0026845637583892,1417148.3300000008,2207.3025000000002,136.59865771812082
Established,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,8105,0.00024676125848241827,0.0023790846126044325,1.0,9209519.76750026,2188.8100000000004,149.0
Long-tenure,Medium engagement,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,908,0.003303964757709251,0.007127829264104581,1.001101321585903,622277.3700000059,2055.9825,99.0
Early lifecycle,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,894,0.0022371364653243847,0.006402799864118185,1.0044742729306488,936239.2650000006,1995.1100000000004,149.0
Established,Medium engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,337,0.005934718100890208,0.006119397426311647,1.0,314961.0425000001,1869.2050000000002,149.0
Established,No observed activity,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,394,0.005076142131979695,0.007057004369964588,1.0101522842639594,344689.1500000002,1762.67,149.0
Unknown tenure,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,53122,5.6473777342720533e-05,0.00031308446720101424,1.0001129475546855,28101899.18249426,1563.705,99.0
Long-tenure,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2680,0.0007462686567164179,0.0005519826209986899,1.0,1653202.9799999588,1299.8700000000003,99.0
Long-tenure,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,6315,0.00031670625494853525,0.0005466617419729888,1.0,4152296.3625002974,1299.8700000000001,99.0
Long-tenure,Medium engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,458,0.002183406113537118,0.008893126881630643,1.0,570122.8974999982,1246.05,184.30349344978166
Established,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,27910,7.165890361877464e-05,0.00025745191530300896,1.0,16564101.839999743,1171.17,99.0
Early lifecycle,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,16384,6.103515625e-05,0.00024860689125551835,1.00006103515625,11012044.972498424,804.3750000000001,99.0
Long-tenure,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,1742,0.000574052812858783,0.000666035849663451,1.0,1193840.5050000057,685.3275000000001,99.0
Long-tenure,Medium engagement,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,383,0.0026109660574412533,0.007149177157030156,1.0,262480.43249999994,685.3275000000001,99.0
Established,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,5900,0.00016949152542372882,0.0003057754149778982,1.0001694915254238,3663767.2500001006,620.9775000000001,99.0
Unknown tenure,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,22084,4.528165187466039e-05,0.00031306366742652684,1.0,10790362.439998372,485.84250000000003,99.0
Early lifecycle,Medium engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,325,0.9292307692307692,0.9143687181535751,1.0,0.0,0.0,0.0
Long-tenure,High engagement,Low revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,593,0.0,0.006749024721071913,20.473861720067454,1091591.0091666668,0.0,222.11973018549727
Early lifecycle,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,1277,0.0,0.0003379807602794036,1.0,710813.3175000024,0.0,99.0
Early lifecycle,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1207,0.0,0.00020581392446947306,1.0,589101.7275000137,0.0,99.0
Early lifecycle,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,3206,0.7442295695570805,0.7391907340677385,1.0049906425452277,0.0,0.0,0.0
Early lifecycle,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,527,0.0,0.002411895655151138,1.0,551706.0249999999,0.0,149.0
Established,Low engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,521,0.0,0.0002942347213546451,1.0,323529.27749999915,0.0,99.0
Early lifecycle,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,306,0.0,0.0063216831635415595,1.0065359477124183,319420.9849999999,0.0,149.0
Long-tenure,No observed activity,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,293,0.0,0.0008020679851210912,1.0,181997.6925,0.0,100.06484641638225
Early lifecycle,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,1456,0.0,0.002416117212473962,1.0,1517586.2325000046,0.0,149.0
Established,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,11734,0.0,0.0002571307548996079,1.0,6483989.654999379,0.0,99.0
Long-tenure,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,15239,0.7159262418793884,0.7130171920538612,1.0202112999540651,0.0,0.0,0.0
Established,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,9003,0.7053204487393091,0.701886451120952,1.0482061535043874,0.0,0.0,0.0
Unknown tenure,No observed activity,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,8670,0.9806228373702423,0.9788262475955716,1.0,0.0,0.0,0.0
Established,Medium engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,771,0.9092088197146563,0.9090665244488371,1.020752269779507,0.0,0.0,0.0
Early lifecycle,Medium engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1080,0.0,0.0004926455373517965,1.0,615568.1675,0.0,101.37314814814815
Established,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,3057,0.0,0.002381469832190823,1.0,3470721.442500025,0.0,149.0
Early lifecycle,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,375,0.0,0.007630763064689334,1.0,246430.1125000001,0.0,133.90666666666667
