month_index,customers_at_risk,churn_events,censored_customers,hazard_rate,survival_probability,group_size,value_risk_quadrant,group_label
13,1450,0,0,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
14,1450,0,0,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
15,1450,0,0,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
16,1450,0,1,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
17,1449,0,170,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
18,1279,0,291,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
19,988,0,165,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
20,823,0,145,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
21,678,0,161,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
22,517,0,128,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
23,389,0,88,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
24,301,0,40,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
25,261,0,179,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
26,82,0,22,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
27,60,0,60,0.0,0.9874481673889085,186118,Medium risk / high value,Medium risk / high value
1,535990,5353,502873,0.009987126625496744,0.9900128733745033,535990,Standard lifecycle population,Standard lifecycle population
2,27764,1786,22411,0.06432790664169429,0.9263274176819927,535990,Standard lifecycle population,Standard lifecycle population
3,3567,1210,36,0.3392206335856462,0.6120980441481515,535990,Standard lifecycle population,Standard lifecycle population
4,2321,370,20,0.15941404566996983,0.5145210185838188,535990,Standard lifecycle population,Standard lifecycle population
5,1931,376,3,0.19471776281719316,0.41433463692275413,535990,Standard lifecycle population,Standard lifecycle population
6,1552,95,1,0.061211340206185565,0.38897265850286905,535990,Standard lifecycle population,Standard lifecycle population
7,1456,106,0,0.07280219780219781,0.36065459407889644,535990,Standard lifecycle population,Standard lifecycle population
8,1350,69,0,0.051111111111111114,0.3422211370481973,535990,Standard lifecycle population,Standard lifecycle population
9,1281,57,0,0.04449648711943794,0.32699349863153276,535990,Standard lifecycle population,Standard lifecycle population
10,1224,48,1,0.0392156862745098,0.31417022417539425,535990,Standard lifecycle population,Standard lifecycle population
11,1175,36,1,0.030638297872340424,0.3045445832644886,535990,Standard lifecycle population,Standard lifecycle population
12,1138,46,0,0.040421792618629174,0.29223434527664455,535990,Standard lifecycle population,Standard lifecycle population
13,1092,4,0,0.003663003663003663,0.29116388979944074,535990,Standard lifecycle population,Standard lifecycle population
14,1088,19,84,0.017463235294117647,0.2860792262827226,535990,Standard lifecycle population,Standard lifecycle population
15,985,9,75,0.009137055837563452,0.28346530441821044,535990,Standard lifecycle population,Standard lifecycle population
16,901,15,366,0.016648168701442843,0.2787461262092502,535990,Standard lifecycle population,Standard lifecycle population
17,520,4,211,0.007692307692307693,0.2766019252384098,535990,Standard lifecycle population,Standard lifecycle population
18,305,5,34,0.01639344262295082,0.27206746744761623,535990,Standard lifecycle population,Standard lifecycle population
19,266,3,31,0.011278195488721804,0.2689990373636206,535990,Standard lifecycle population,Standard lifecycle population
20,232,4,21,0.017241379310344827,0.26436112292631675,535990,Standard lifecycle population,Standard lifecycle population
21,207,3,34,0.014492753623188406,0.26052980230419626,535990,Standard lifecycle population,Standard lifecycle population
22,170,3,33,0.01764705882352941,0.2559322175576516,535990,Standard lifecycle population,Standard lifecycle population
23,134,3,31,0.022388059701492536,0.25020239179143555,535990,Standard lifecycle population,Standard lifecycle population
24,100,3,7,0.03,0.24269632003769248,535990,Standard lifecycle population,Standard lifecycle population
25,90,6,47,0.06666666666666667,0.22651656536851297,535990,Standard lifecycle population,Standard lifecycle population
26,37,1,9,0.02702702702702703,0.22039449603422884,535990,Standard lifecycle population,Standard lifecycle population
27,27,1,26,0.037037037037037035,0.21223173692185002,535990,Standard lifecycle population,Standard lifecycle population
