lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,value_based_action_group,retention_budget_tier,customers,future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_engagement_score,avg_active_days,auto_renew_rate,cancellation_signal_rate,no_recent_activity_rate,major_activity_drop_rate,leakage_priority_score,leakage_strategy_readout
Long-tenure,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,21972,0.02325687238303295,17792968.14750013,396841.4775000001,13.825241898665062,17.585335882031675,1.0,0.003914072455852903,0.0,0.0,398394.7437964228,"Monitor, do not overspend"
Established,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,11719,0.031572659783257954,12493390.054166807,352962.8374999999,14.452929647828501,20.682652103421795,0.7542452427681543,0.0,0.0,0.0,352962.8374999999,Watchlist segment
Established,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,728,0.20467032967032966,934149.4824999946,310550.5975,0.0,0.0,0.9601648351648352,0.0,1.0,0.0,310550.5975,Model should prioritize
Early lifecycle,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,6055,0.056647398843930635,5673845.872499996,241345.35749999993,14.449875081897467,20.40990916597853,0.6994219653179191,0.016680429397192404,0.0,0.0,245371.10169611886,Watchlist segment
Unknown tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,14514,0.03858343668182444,9511694.139999753,223670.58999999965,0.0,0.0,0.9998622020118506,0.026388314730604934,1.0,0.0,229572.87992489975,Reactivation strategy needed
Unknown tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,53808,0.016242937853107344,27801751.802505188,222133.30750000058,0.0,0.0,0.9999814154029141,0.013492417484388938,1.0,0.0,225130.42282197872,Reactivation strategy needed
Unknown tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,11031,0.04550811349832291,8450486.94750127,215307.23499999804,0.0,0.0,0.9996373855498142,0.03290726135436497,1.0,0.0,222392.40645362868,Reactivation strategy needed
Long-tenure,Medium engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,735,0.08979591836734693,1081894.4500000086,209191.51500000007,7.7813896380881475,1.5700680272108845,0.85578231292517,0.0,0.0,0.0,209191.51500000007,Watchlist segment
Established,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,28575,0.022712160979877515,16560903.644993335,201521.67750000078,0.0,0.0,1.0,0.019282589676290464,1.0,0.0,205407.53731811102,Reactivation strategy needed
Early lifecycle,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,18361,0.014705081422580469,14144050.082499992,178261.39499999996,13.856195304728011,17.678721202548882,0.9363869070312074,0.004465987691302216,0.0,0.0,179057.50819590432,"Monitor, do not overspend"
Long-tenure,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3161,0.07307813982916798,3026555.0574999684,166865.10750000027,7.656597125265145,1.5014236001265422,0.9946219550775072,0.041126225877886745,0.0,0.0,173727.63960218316,Watchlist segment
Long-tenure,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,3536,0.06080316742081448,3565184.090000054,150190.13749999995,7.667596107877948,1.5263009049773755,0.9934954751131222,0.04270361990950226,0.0,0.0,156603.80004595584,Watchlist segment
Established,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,33052,0.009590947597724797,24187260.391667705,154794.0766666669,13.578058034103737,16.39561902456735,1.0,0.006414135301948445,0.0,0.0,155786.9468183471,"Monitor, do not overspend"
Established,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,2545,0.08015717092337918,2172824.9074999434,117726.01750000034,0.0,0.0,0.9956777996070727,0.04911591355599214,1.0,0.0,123508.23839882157,Reactivation strategy needed
Long-tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,8971,0.02831345446438524,5770377.892500251,101496.81749999986,0.0,0.0,0.9998885297068332,0.021848177460706723,1.0,0.0,103714.33798043682,Reactivation strategy needed
Early lifecycle,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,2359,0.05129292072912251,2205417.0775000006,91450.06000000001,14.469445102608885,20.69944891903349,0.6697753285290378,0.0,0.0,0.0,91450.06000000001,Watchlist segment
Established,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2046,0.08113391984359726,1584505.877500006,82394.77999999993,0.0,0.0,0.9951124144672532,0.0552297165200391,1.0,0.0,86945.4203421309,Reactivation strategy needed
Unknown tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,22649,0.015232460594286724,10972111.9949991,76122.83249999974,0.0,0.0,1.0,0.012671641132058811,1.0,0.0,77087.43371539557,Reactivation strategy needed
Long-tenure,High engagement,Low revenue,Elite value,Protect high-value customer,Premium save budget,1065,0.046009389671361506,1967035.7633333327,76167.33583333333,14.153553143992628,19.108920187793426,0.9990610328638497,0.0,0.0,0.0,76167.33583333333,Watchlist segment
Established,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,12003,0.02174456385903524,6560392.409998988,69877.66499999975,0.0,0.0,1.0,0.019245188702824295,1.0,0.0,71222.47384903747,Reactivation strategy needed
Established,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,6063,0.023915553356424212,3721550.3325001653,46605.48750000009,7.571040556471788,1.4891967672769255,1.0,0.022266204849084613,0.0,0.0,47643.21483176655,"Monitor, do not overspend"
Long-tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3814,0.030414263240692185,2333687.1024999446,46226.12583333336,0.0,0.0,1.0,0.021237545883586787,1.0,0.0,47207.85530173923,Reactivation strategy needed
Unknown tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,4041,0.01311556545409552,3024056.966666542,43967.70083333331,0.0,0.0,0.9992576095025983,0.0,1.0,0.0,43967.70083333331,Reactivation strategy needed
Long-tenure,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,2744,0.03097667638483965,1864451.159999926,42487.08749999997,7.631230329217961,1.4861516034985423,1.0,0.018221574344023325,0.0,0.0,43261.269123542246,Watchlist segment
Established,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,930,0.04086021505376344,785665.562499996,38390.33250000001,0.0,0.0,0.9967741935483871,0.0,1.0,0.0,38390.33250000001,Reactivation strategy needed
Established,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,703,0.08392603129445235,625839.8574999968,31122.747500000034,7.6497029205318965,1.5504978662873399,0.9743954480796586,0.07112375533428165,0.0,0.0,33336.31417852066,Watchlist segment
Long-tenure,Medium engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,1264,0.020569620253164556,1327345.2400000005,26681.882499999992,7.71372835636997,1.5221518987341771,0.9920886075949367,0.0,0.0,0.0,26681.882499999992,"Monitor, do not overspend"
Established,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,660,0.05606060606060606,557097.7749999979,20113.892500000013,7.645812918702686,1.5575757575757576,0.990909090909091,0.045454545454545456,0.0,0.0,21028.160340909104,Watchlist segment
Early lifecycle,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,16502,0.002484547327596655,11081526.722500192,19224.822500000002,13.64104590723003,16.78675312083384,0.9998182038540783,0.0013331717367591808,0.0,0.0,19250.452490001215,"Monitor, do not overspend"
Established,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2538,0.02206461780929866,1559309.8950000452,18365.49000000002,7.550751991221835,1.4925137903861307,1.0,0.02048857368006304,0.0,0.0,18741.77269503548,"Monitor, do not overspend"
Long-tenure,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1233,0.025952960259529603,840047.2925000124,15517.547499999995,7.612393004209354,1.508515815085158,1.0,0.0170316301703163,0.0,0.0,15781.836630170314,"Monitor, do not overspend"
Early lifecycle,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1879,0.020223523150612027,1068178.8650000067,10524.474999999999,0.0,0.0,1.0,0.019691325172964343,1.0,0.0,10731.71585949973,Reactivation strategy needed
Early lifecycle,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,6859,0.0017495261699956262,4601732.850000016,6949.800000000001,13.613400945153701,16.69324974486077,1.0,0.000583175389998542,0.0,0.0,6953.852952325413,"Monitor, do not overspend"
Early lifecycle,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1301,0.009992313604919293,776271.599999998,5709.73,7.470866718972813,1.6295157571099155,0.9938508839354343,0.006917755572636433,0.0,0.0,5749.22851652575,"Monitor, do not overspend"
Established,Low engagement,Low revenue,Low value,Low-cost automated retention,Automation only,525,0.024761904761904763,322473.93749999907,4533.4575,3.6911967385606594,1.0342857142857143,1.0,0.02095238095238095,0.0,0.0,4628.444228571429,"Monitor, do not overspend"
Early lifecycle,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,2877,0.004171011470281543,1495448.9549999484,2323.0350000000003,0.0,0.0,1.0,0.004171011470281543,1.0,0.0,2332.724405630866,Reactivation strategy needed
Early lifecycle,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,1262,0.006339144215530904,699889.9049999915,1879.0200000000002,7.511561827056213,1.5221870047543582,1.0,0.006339144215530904,0.0,0.0,1890.931378763867,"Monitor, do not overspend"
Early lifecycle,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1200,0.008333333333333333,582978.8250000153,1640.925,0.0,0.0,1.0,0.008333333333333333,1.0,0.0,1654.599375,Reactivation strategy needed
Early lifecycle,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,563,0.0017761989342806395,313059.532500001,234.87750000000003,7.4821344729064085,1.4831261101243338,1.0,0.0017761989342806395,0.0,0.0,235.29468916518653,"Monitor, do not overspend"
Established,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,771,0.9092088197146563,0.0,0.0,7.468974387866358,1.4319066147859922,0.0038910505836575876,0.0,0.0,0.0,0.0,Suppress from paid retention
Long-tenure,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,1317,0.914958238420653,0.0,0.0,7.537496863486132,1.4502657555049354,0.010630220197418374,0.0015186028853454822,0.0,0.0,0.0,Suppress from paid retention
Unknown tenure,No observed activity,No observed revenue,No observed value,Suppress paid offer,No paid budget,8670,0.9806228373702423,0.0,0.0,0.0,0.0,0.004036908881199538,0.0029988465974625142,1.0,0.0,0.0,Suppress from paid retention
Long-tenure,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,15239,0.7159262418793884,0.0,0.0,13.213580731437961,12.84237810879979,0.030185707723603912,0.00032810551873482514,0.0,0.0,0.0,Suppress from paid retention
Established,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,9003,0.7053204487393091,0.0,0.0,13.175465871019732,12.86015772520271,0.021548372764634012,0.0005553704320781962,0.0,0.0,0.0,Suppress from paid retention
Early lifecycle,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,3206,0.7442295695570805,0.0,0.0,12.949939349841841,11.56768558951965,0.017155333749220212,0.002495321272613849,0.0,0.0,0.0,Suppress from paid retention
