lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,value_based_action_group,retention_budget_tier,customers,future_churn_rate,monthly_revenue_baseline_proxy,profit_adjusted_clv_proxy,future_churned_clv_proxy,clv_leakage_rate,avg_engagement_score,avg_active_days,auto_renew_rate,cancellation_signal_rate,no_recent_activity_rate,major_activity_drop_rate
Long-tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,13578,0.0810134040359405,2023122.0,13008761.2525003,833815.5475000165,0.06409646017139074,0.0,0.0,0.9989689203122698,0.03638238326704964,1.0,0.0
Established,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,28216,0.032463850297703434,3955425.6666666665,28830556.267499927,753472.1674999999,0.02613449981710457,14.348014342162688,20.161185143181175,0.8505812305075134,0.01041962007371704,0.0,0.0
Long-tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,10489,0.09247783392125083,1510925.3333333333,9396449.930834128,700088.2416666661,0.07450561082322704,0.0,0.0,0.9995233101344265,0.0373724854609591,1.0,0.0
Unknown tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,1821,0.8116419549697969,432026.0,716083.0950000193,572588.3475000038,0.7996115974501372,0.0,0.0,1.0,1.0,1.0,0.0
Long-tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,946,0.8044397463002114,245257.3333333333,725348.5633333332,562121.1808333353,0.7749669734646086,0.0,0.0,1.0,1.0,1.0,0.0
Early lifecycle,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,349,0.9054441260744985,119307.33333333334,538568.9616666667,512414.84666666656,0.9514377603212353,14.400254781637633,20.435530085959886,0.0,0.0,0.0,0.0
Early lifecycle,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,996,0.40763052208835343,329738.0,1229253.8374999994,508324.53749999986,0.4135228396226179,13.735349130759728,16.211847389558233,1.0,1.0,0.0,0.0
Long-tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,5283,0.07211811470755253,817981.3333333331,5134217.909166211,444790.50416666444,0.08663257228965136,0.0,0.0,0.9990535680484574,0.0,1.0,0.0
Established,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,79256,0.0107625921065913,7845684.0,57958985.369992815,426008.8949999992,0.007350178618215725,13.56969669695212,16.368325426466136,0.9998485919047139,0.006838598970424952,0.0,0.0
Established,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,977,0.8894575230296827,211921.33333333334,489008.47666666965,425879.891666669,0.8709049269854846,0.0,0.0,1.0,1.0,1.0,0.0
Long-tenure,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,21972,0.02325687238303295,2184437.666666666,17792968.14750013,396841.4775000001,0.02230327589024293,13.825241898665062,17.585335882031675,1.0,0.003914072455852903,0.0,0.0
Long-tenure,High engagement,Medium revenue,Elite value,Premium win-back,Premium save budget,573,0.9022687609075044,87381.99999999999,407538.3650000002,365912.2350000002,0.8978596039663653,13.21195863768752,13.162303664921465,1.0,1.0,0.0,0.0
Established,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,11719,0.031572659783257954,1749632.0,12493390.054166807,352962.8374999999,0.028251966517468925,14.452929647828501,20.682652103421795,0.7542452427681543,0.0,0.0,0.0
Established,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,728,0.20467032967032966,174537.66666666666,934149.4824999946,310550.5975,0.33244208054250224,0.0,0.0,0.9601648351648352,0.0,1.0,0.0
Early lifecycle,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,6055,0.056647398843930635,902195.0,5673845.872499997,241345.35749999998,0.04253646696145783,14.449875081897464,20.40990916597853,0.6994219653179191,0.016680429397192404,0.0,0.0
Long-tenure,High engagement,No observed revenue,High value,Targeted retention nurture,Moderate save budget,338,0.7692307692307693,50362.0,301610.27000000014,227728.24750000006,0.7550414231584354,14.65222414546232,22.37278106508876,0.23372781065088757,0.16568047337278108,0.0,0.0
Unknown tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,14514,0.03858343668182444,1894021.0,9511694.139999753,223670.58999999965,0.02351532615618835,0.0,0.0,0.9998622020118506,0.026388314730604934,1.0,0.0
Unknown tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,53808,0.016242937853107344,5326928.0,27801751.802505188,222133.30750000058,0.007989903265015997,0.0,0.0,0.9999814154029141,0.013492417484388938,1.0,0.0
Unknown tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,11031,0.04550811349832291,1643619.0,8450486.94750127,215307.23499999804,0.025478677896030876,0.0,0.0,0.9996373855498142,0.03290726135436497,1.0,0.0
Long-tenure,Medium engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,735,0.08979591836734693,176260.0,1081894.4500000086,209191.51500000007,0.19335667633751003,7.7813896380881475,1.5700680272108845,0.85578231292517,0.0,0.0,0.0
Established,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,28575,0.022712160979877515,2828925.0,16560903.644993335,201521.67750000078,0.012168519412944261,0.0,0.0,1.0,0.019282589676290464,1.0,0.0
Long-tenure,High engagement,No observed revenue,Core value,Standard lifecycle nurture,Low-cost save budget,307,0.8110749185667753,41972.0,251869.41000000003,200886.4866666667,0.7975819162266139,14.603623265338555,22.44299674267101,0.23127035830618892,0.15309446254071662,0.0,0.0
Early lifecycle,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,18361,0.014705081422580469,2119238.0,14144050.082499994,178261.39499999996,0.012603277983337841,13.85619530472801,17.678721202548882,0.9363869070312074,0.004465987691302216,0.0,0.0
Long-tenure,Medium engagement,High revenue,Elite value,Premium win-back,Premium save budget,359,0.5654596100278552,93684.66666666666,344056.93833333347,170877.75249999994,0.4966554469959506,7.492897183461855,1.5376044568245126,1.0,1.0,0.0,0.0
Long-tenure,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3161,0.07307813982916798,447046.99999999994,3026555.0574999684,166865.10750000027,0.05513367651663876,7.656597125265145,1.5014236001265422,0.9946219550775072,0.041126225877886745,0.0,0.0
Established,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,33052,0.009590947597724797,3272197.6666666665,24187260.39166771,154794.0766666669,0.00639981850610878,13.578058034103734,16.39561902456735,1.0,0.006414135301948445,0.0,0.0
Long-tenure,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,3536,0.06080316742081448,526864.0,3565184.090000054,150190.13749999995,0.042126895472597514,7.667596107877948,1.5263009049773755,0.9934954751131222,0.04270361990950226,0.0,0.0
Established,Medium engagement,High revenue,Elite value,Premium win-back,Premium save budget,299,0.6889632107023411,67944.0,205360.73999999935,132521.51250000024,0.6453108442246588,7.542620324333865,1.4983277591973243,1.0,1.0,0.0,0.0
Established,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,2545,0.08015717092337918,379205.0,2172824.9074999434,117726.01750000034,0.05418108798994583,0.0,0.0,0.9956777996070727,0.04911591355599214,1.0,0.0
Long-tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,8971,0.02831345446438524,888065.0,5770377.892500251,101496.81749999986,0.01758928433992427,0.0,0.0,0.9998885297068332,0.021848177460706723,1.0,0.0
Early lifecycle,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,2359,0.05129292072912251,351713.0,2205417.0775000006,91450.06,0.0414661067663742,14.469445102608885,20.69944891903349,0.6697753285290378,0.0,0.0,0.0
Established,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2046,0.08113391984359726,287590.0,1584505.877500006,82394.77999999993,0.0520002993803976,0.0,0.0,0.9951124144672532,0.0552297165200391,1.0,0.0
Long-tenure,High engagement,Low revenue,Elite value,Protect high-value customer,Premium save budget,1065,0.046009389671361506,237286.66666666666,1967035.7633333327,76167.33583333335,0.038721886634262515,14.153553143992632,19.108920187793426,0.9990610328638497,0.0,0.0,0.0
Unknown tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,22649,0.015232460594286724,2242301.0,10972111.9949991,76122.83249999974,0.006937846837026019,0.0,0.0,1.0,0.012671641132058811,1.0,0.0
Established,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,12003,0.02174456385903524,1188297.0,6560392.409998988,69877.66499999975,0.010651445924712684,0.0,0.0,1.0,0.019245188702824295,1.0,0.0
Established,Medium engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,325,0.08,75326.0,411582.5349999983,62560.06249999999,0.15199882691815447,7.689606677164122,1.5876923076923077,0.8153846153846154,0.0,0.0,0.0
Established,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,6063,0.023915553356424212,600237.0,3721550.3325001653,46605.48750000009,0.012523137761431316,7.571040556471788,1.4891967672769255,1.0,0.022266204849084613,0.0,0.0
Long-tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3814,0.030414263240692185,378345.3333333333,2333687.1024999446,46226.12583333336,0.019808193559373907,0.0,0.0,1.0,0.021237545883586787,1.0,0.0
Unknown tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,4041,0.01311556545409552,608590.6666666667,3024056.966666542,43967.70083333331,0.014539309714723888,0.0,0.0,0.9992576095025983,0.0,1.0,0.0
Long-tenure,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,2744,0.03097667638483965,271656.0,1864451.159999926,42487.08749999997,0.02278798630477489,7.631230329217961,1.4861516034985423,1.0,0.018221574344023325,0.0,0.0
Established,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,930,0.04086021505376344,139758.33333333334,785665.562499996,38390.33250000001,0.04886345327118777,0.0,0.0,0.9967741935483871,0.0,1.0,0.0
Established,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,703,0.08392603129445235,104747.0,625839.8574999968,31122.747500000034,0.04972957079519371,7.6497029205318965,1.5504978662873399,0.9743954480796586,0.07112375533428165,0.0,0.0
Long-tenure,Medium engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,1264,0.020569620253164556,192304.0,1327345.2400000005,26681.882499999992,0.020101689971781557,7.71372835636997,1.5221518987341771,0.9920886075949367,0.0,0.0,0.0
Established,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,660,0.05606060606060606,91430.0,557097.7749999979,20113.892500000013,0.036104779811766595,7.645812918702686,1.5575757575757576,0.990909090909091,0.045454545454545456,0.0,0.0
Early lifecycle,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,16502,0.002484547327596655,1633576.0,11081526.722500192,19224.822500000002,0.001734853236509864,13.64104590723003,16.78675312083384,0.9998182038540783,0.0013331717367591808,0.0,0.0
Established,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2538,0.02206461780929866,251262.0,1559309.8950000452,18365.49000000002,0.011777960275176403,7.550751991221835,1.4925137903861307,1.0,0.02048857368006304,0.0,0.0
Long-tenure,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1233,0.025952960259529603,122326.33333333333,840047.2925000124,15517.547499999995,0.018472230835741628,7.612393004209354,1.508515815085158,1.0,0.0170316301703163,0.0,0.0
Early lifecycle,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,250,0.172,37250.0,177496.99499999953,15321.67000000001,0.08632072897910215,0.0,0.0,0.996,0.148,1.0,0.0
Early lifecycle,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1879,0.020223523150612027,207723.0,1068178.8650000067,10524.474999999999,0.009852727239646267,0.0,0.0,1.0,0.019691325172964343,1.0,0.0
Early lifecycle,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,6859,0.0017495261699956262,679041.0,4601732.850000016,6949.800000000001,0.0015102571632336233,13.613400945153701,16.69324974486077,1.0,0.000583175389998542,0.0,0.0
Early lifecycle,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1301,0.009992313604919293,139380.0,776271.599999998,5709.73,0.0073553251207438405,7.470866718972813,1.6295157571099155,0.9938508839354343,0.006917755572636433,0.0,0.0
Established,Low engagement,Low revenue,Low value,Low-cost automated retention,Automation only,525,0.024761904761904763,51975.0,322473.93749999907,4533.4575,0.014058368670491437,3.6911967385606594,1.0342857142857143,1.0,0.02095238095238095,0.0,0.0
Early lifecycle,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,2877,0.004171011470281543,284823.0,1495448.9549999484,2323.0350000000003,0.0015534030715211409,0.0,0.0,1.0,0.004171011470281543,1.0,0.0
Early lifecycle,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,1262,0.006339144215530904,124938.0,699889.9049999915,1879.0200000000002,0.0026847365372415577,7.511561827056213,1.5221870047543582,1.0,0.006339144215530904,0.0,0.0
Early lifecycle,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1200,0.008333333333333333,118800.0,582978.8250000153,1640.925,0.0028147248744411204,0.0,0.0,1.0,0.008333333333333333,1.0,0.0
Early lifecycle,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,563,0.0017761989342806395,55737.0,313059.532500001,234.87750000000003,0.0007502646481464328,7.4821344729064085,1.4831261101243338,1.0,0.0017761989342806395,0.0,0.0
Established,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,771,0.9092088197146563,0.0,0.0,0.0,,7.468974387866358,1.4319066147859922,0.0038910505836575876,0.0,0.0,0.0
Early lifecycle,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,3206,0.7442295695570805,0.0,0.0,0.0,,12.94993934984184,11.56768558951965,0.017155333749220212,0.002495321272613849,0.0,0.0
Early lifecycle,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,325,0.9292307692307692,0.0,0.0,0.0,,7.4945938484236425,1.4738461538461538,0.009230769230769232,0.006153846153846154,0.0,0.0
Unknown tenure,No observed activity,No observed revenue,No observed value,Suppress paid offer,No paid budget,8670,0.9806228373702423,0.0,0.0,0.0,,0.0,0.0,0.004036908881199538,0.0029988465974625142,1.0,0.0
Long-tenure,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,1317,0.914958238420653,0.0,0.0,0.0,,7.537496863486132,1.4502657555049354,0.010630220197418374,0.0015186028853454822,0.0,0.0
Long-tenure,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,15239,0.7159262418793884,0.0,0.0,0.0,,13.213580731437961,12.84237810879979,0.030185707723603912,0.00032810551873482514,0.0,0.0
Established,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,9003,0.7053204487393091,0.0,0.0,0.0,,13.175465871019732,12.86015772520271,0.021548372764634012,0.0005553704320781962,0.0,0.0
