lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,value_based_action_group,retention_budget_tier,customers,future_churn_rate,total_monthly_value_baseline,total_profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_engagement_score,auto_renew_rate,cancellation_signal_rate
Early lifecycle,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1848,0.015692640692640692,203104.0,983433.8800000027,7249.807500000002,0.0,1.0,0.015692640692640692
Established,Medium engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,257,0.023346303501945526,38295.0,236713.58750000043,5607.615000000001,7.756741483613349,0.9649805447470817,0.0
Early lifecycle,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1282,0.0093603744149766,136549.0,761807.0524999981,4775.1275,7.4733903530593855,0.9976599063962559,0.0078003120124804995
Early lifecycle,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,2867,0.006627136379490757,283833.0,1509502.99499995,3931.7850000000017,0.0,1.0,0.006627136379490757
Established,Low engagement,Low revenue,Low value,Low-cost automated retention,Automation only,526,0.009505703422053232,52074.0,325025.414999999,1496.1375000000003,3.638041240357065,1.0,0.009505703422053232
Early lifecycle,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,528,0.00946969696969697,52272.0,292290.57000000094,1174.3875,7.543664445565034,1.0,0.00946969696969697
Early lifecycle,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,1297,0.0030840400925212026,128403.0,720658.8674999895,939.5100000000001,7.485719280441722,1.0,0.0030840400925212026
Early lifecycle,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1210,0.0024793388429752068,119790.0,589594.005000017,492.27750000000003,0.0,1.0,0.0024793388429752068
Early lifecycle,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,325,0.9292307692307692,0.0,0.0,0.0,7.494593848423638,0.009230769230769232,0.006153846153846154
Early lifecycle,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,3206,0.7442295695570805,0.0,0.0,0.0,12.949939349841841,0.017155333749220212,0.002495321272613849
Established,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,771,0.9092088197146563,0.0,0.0,0.0,7.468974387866356,0.0038910505836575876,0.0
Long-tenure,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,15239,0.7159262418793884,0.0,0.0,0.0,13.213580731437952,0.030185707723603912,0.00032810551873482514
Unknown tenure,No observed activity,No observed revenue,No observed value,Suppress paid offer,No paid budget,8670,0.9806228373702423,0.0,0.0,0.0,0.0,0.004036908881199538,0.0029988465974625142
Long-tenure,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,1317,0.914958238420653,0.0,0.0,0.0,7.537496863486134,0.010630220197418374,0.0015186028853454822
Established,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,9003,0.7053204487393091,0.0,0.0,0.0,13.175465871019725,0.021548372764634012,0.0005553704320781962
