lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,customers,future_churn_rate,avg_monthly_value_baseline,avg_profit_adjusted_clv_proxy,total_profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_engagement_score,avg_active_days,auto_renew_rate,cancellation_signal_rate
Established,High engagement,Medium revenue,High value,30789,0.04137841436876807,149.0,1066.8161660008313,32846202.934999596,1061035.3325000007,14.39221839554037,20.333755562051383,0.7899574523368735,0.01351131897755692
Long-tenure,High engagement,Low revenue,Low value,51409,0.02312824602696026,98.9874535587154,805.791247446932,41424922.239999324,889062.1350000004,13.813395829667943,17.52751463751483,0.999708222295707,0.003968176778385108
Long-tenure,No observed activity,Medium revenue,High value,13578,0.0810134040359405,149.0,958.0763921415861,13008761.252498455,833815.5474999975,0.0,0.0,0.9989689203122698,0.03638238326704964
Established,High engagement,Medium revenue,Core value,28216,0.032463850297703434,140.1837846139306,1021.7804177594155,28830556.267499667,753472.1675000002,14.348014342162683,20.161185143181175,0.8505812305075134,0.01041962007371704
Established,No observed activity,High revenue,Elite value,1705,0.5970674486803519,226.66217008797653,834.6967502444011,1423157.9591667037,736430.4891666686,0.0,0.0,0.9829912023460411,0.5730205278592375
Long-tenure,No observed activity,Medium revenue,Core value,10489,0.09247783392125083,144.04855880763975,895.8384908794096,9396449.930834128,700088.2416666661,0.0,0.0,0.9995233101344265,0.0373724854609591
Unknown tenure,No observed activity,High revenue,Elite value,1919,0.808754559666493,242.4127149557061,446.2876628452454,856426.0250000259,689865.442500011,0.0,0.0,0.9942678478374153,0.948931735278791
Long-tenure,No observed activity,Medium revenue,Elite value,5473,0.10396491869175954,154.88184420488454,954.5017557402085,5223988.109166161,533626.1016666624,0.0,0.0,0.9990864242645715,0.03471587794628175
Established,High engagement,Medium revenue,Elite value,11869,0.042632066728452274,149.30008144465975,1059.9224580138864,12580219.654166818,431143.7324999999,14.431629836761726,20.56070435588508,0.7573510826522875,0.012637964445193361
Established,High engagement,Low revenue,Low value,79256,0.0107625921065913,98.99167255475926,731.28829829911,57958985.36999426,426008.89499999926,13.569696696952123,16.368325426466136,0.9998485919047139,0.006838598970424952
Long-tenure,High engagement,Low revenue,Core value,21972,0.02325687238303295,99.41915468171612,809.8019364418268,17792968.14749982,396841.47750000004,13.825241898665054,17.585335882031675,1.0,0.003914072455852903
Long-tenure,Medium engagement,High revenue,Elite value,1094,0.24588665447897623,246.75015234613042,1303.429056977471,1425951.3883333532,380069.26749999984,7.6867198106559345,1.559414990859232,0.903107861060329,0.3281535648994516
Early lifecycle,High engagement,Medium revenue,High value,6055,0.056647398843930635,149.0,937.051341453347,5673845.872500016,241345.35749999993,14.449875081897462,20.40990916597853,0.6994219653179191,0.016680429397192404
Unknown tenure,No observed activity,Medium revenue,Core value,14514,0.03858343668182444,130.49614165633182,655.3461581920734,9511694.139999753,223670.58999999965,0.0,0.0,0.9998622020118506,0.026388314730604934
Unknown tenure,No observed activity,Low revenue,Low value,53808,0.016242937853107344,98.9988105857865,516.6843555327309,27801751.802505188,222133.30750000058,0.0,0.0,0.9999814154029141,0.013492417484388938
Unknown tenure,No observed activity,Medium revenue,High value,11031,0.04550811349832291,149.0,766.0671695675625,8450486.947499782,215307.23500000028,0.0,0.0,0.9996373855498142,0.03290726135436497
Established,No observed activity,Low revenue,Low value,28575,0.022712160979877515,99.0,579.5591826769321,16560903.644993335,201521.67750000078,0.0,0.0,1.0,0.019282589676290464
Established,Medium engagement,High revenue,Elite value,624,0.3717948717948718,229.59935897435898,988.6911458333319,616943.2749999991,195081.5749999997,7.619175716432958,1.544871794871795,0.9038461538461539,0.4791666666666667
Early lifecycle,High engagement,Medium revenue,Core value,18361,0.014705081422580469,115.42061979195033,770.331141141551,14144050.082500018,178261.39499999996,13.85619530472802,17.678721202548882,0.9363869070312074,0.004465987691302216
Long-tenure,Medium engagement,Medium revenue,Core value,3161,0.07307813982916798,141.42581461562796,957.4675917431111,3026555.0574999745,166865.10750000025,7.656597125265145,1.5014236001265422,0.9946219550775072,0.041126225877886745
Established,High engagement,Low revenue,Core value,33052,0.009590947597724797,99.00150268264149,731.7941544132741,24187260.391667537,154794.07666666684,13.578058034103726,16.39561902456735,1.0,0.006414135301948445
Long-tenure,Medium engagement,Medium revenue,High value,3536,0.06080316742081448,149.0,1008.2534191176652,3565184.090000064,150190.13750000013,7.667596107877946,1.5263009049773755,0.9934954751131222,0.04270361990950226
Established,No observed activity,Medium revenue,High value,2545,0.08015717092337918,149.0,853.7622426325986,2172824.9074999634,117726.01749999986,0.0,0.0,0.9956777996070727,0.04911591355599214
Early lifecycle,High engagement,Medium revenue,Elite value,2403,0.06783187682064086,149.17228464419475,926.6526456512695,2226746.3075000006,111965.75000000003,14.43693865234654,20.506034124011652,0.6758218893050354,0.018310445276737412
Long-tenure,No observed activity,Low revenue,Low value,8971,0.02831345446438524,98.99286590123732,643.2257153606344,5770377.892500251,101496.81749999986,0.0,0.0,0.9998885297068332,0.021848177460706723
Established,No observed activity,Medium revenue,Core value,2046,0.08113391984359726,140.56207233626589,774.4408003421339,1584505.877500006,82394.77999999993,0.0,0.0,0.9951124144672532,0.0552297165200391
Long-tenure,High engagement,Low revenue,Elite value,1069,0.04957904583723106,222.7910820081072,1843.3161911443713,1970505.0083333328,79636.58083333334,14.142274320828601,19.057062675397567,0.9990645463049579,0.0037418147801683817
Unknown tenure,No observed activity,Medium revenue,Elite value,4169,0.04341568721515951,150.57855600863516,733.1428787878463,3056472.661666531,76383.39583333318,0.0,0.0,0.9992804029743344,0.030702806428400096
Unknown tenure,No observed activity,Low revenue,Core value,22649,0.015232460594286724,99.00220760298468,484.441343767897,10972111.9949991,76122.83249999974,0.0,0.0,1.0,0.012671641132058811
Established,No observed activity,Low revenue,Core value,12003,0.02174456385903524,99.0,546.5627268182111,6560392.409998988,69877.66499999975,0.0,0.0,1.0,0.019245188702824295
Long-tenure,Medium engagement,Medium revenue,Elite value,1328,0.06626506024096386,152.08007028112453,1026.216467745977,1362815.4691666574,61057.70666666664,7.696155977162997,1.5180722891566265,0.9924698795180723,0.04819277108433735
Established,No observed activity,Medium revenue,Elite value,975,0.08307692307692308,150.21880341880342,822.3349333333289,801776.5599999956,53813.69499999996,0.0,0.0,0.9969230769230769,0.046153846153846156
Established,Medium engagement,Low revenue,Low value,6063,0.023915553356424212,99.0,613.8133485898344,3721550.332500166,46605.48750000009,7.571040556471802,1.4891967672769255,1.0,0.022266204849084613
Long-tenure,No observed activity,Low revenue,Core value,3814,0.030414263240692185,99.1990910679951,611.8739125589786,2333687.1024999446,46226.12583333336,0.0,0.0,1.0,0.021237545883586787
Long-tenure,Medium engagement,Low revenue,Low value,2744,0.03097667638483965,99.0,679.4647084547812,1864451.1599999196,42487.08749999997,7.631230329217959,1.4861516034985423,1.0,0.018221574344023325
Established,Medium engagement,Medium revenue,High value,703,0.08392603129445235,149.0,890.2416180654296,625839.857499997,31122.74750000003,7.649702920531905,1.5504978662873399,0.9743954480796586,0.07112375533428165
Established,Medium engagement,Medium revenue,Core value,660,0.05606060606060606,138.53030303030303,844.0875378787853,557097.7749999983,20113.892500000013,7.645812918702682,1.5575757575757576,0.990909090909091,0.045454545454545456
Early lifecycle,High engagement,Low revenue,Low value,16502,0.002484547327596655,98.99260695673252,671.5262830263069,11081526.722500117,19224.822500000002,13.641045907230026,16.78675312083384,0.9998182038540783,0.0013331717367591808
Established,Medium engagement,Low revenue,Core value,2538,0.02206461780929866,99.0,614.3853014184579,1559309.8950000461,18365.490000000023,7.550751991221825,1.4925137903861307,1.0,0.02048857368006304
Long-tenure,Medium engagement,Low revenue,Core value,1233,0.025952960259529603,99.2103271154366,681.3035624493211,840047.2925000129,15517.547499999997,7.612393004209352,1.508515815085158,1.0,0.0170316301703163
Early lifecycle,No observed activity,Medium revenue,Core value,1879,0.020223523150612027,110.54976051091006,568.482631719003,1068178.8650000067,10524.474999999999,0.0,0.0,1.0,0.019691325172964343
Early lifecycle,High engagement,Low revenue,Core value,6859,0.0017495261699956262,99.0,670.9043373669656,4601732.850000017,6949.800000000001,13.613400945153707,16.69324974486077,1.0,0.000583175389998542
Early lifecycle,Medium engagement,Medium revenue,Core value,1301,0.009992313604919293,107.13297463489623,596.6730207532651,776271.5999999979,5709.73,7.47086671897283,1.6295157571099155,0.9938508839354343,0.006917755572636433
Established,Low engagement,Low revenue,Low value,525,0.024761904761904763,99.0,614.2360714285696,322473.93749999907,4533.4575,3.6911967385606594,1.0342857142857143,1.0,0.02095238095238095
Early lifecycle,No observed activity,Low revenue,Low value,2877,0.004171011470281543,99.0,519.7945620437777,1495448.9549999484,2323.0350000000003,0.0,0.0,1.0,0.004171011470281543
Early lifecycle,Medium engagement,Low revenue,Low value,1262,0.006339144215530904,99.0,554.5878803486459,699889.9049999911,1879.0200000000002,7.511561827056218,1.5221870047543582,1.0,0.006339144215530904
Early lifecycle,No observed activity,Low revenue,Core value,1200,0.008333333333333333,99.0,485.81568750001276,582978.8250000153,1640.925,0.0,0.0,1.0,0.008333333333333333
Early lifecycle,Medium engagement,Low revenue,Core value,563,0.0017761989342806395,99.0,556.056007992897,313059.532500001,234.87750000000003,7.4821344729064085,1.4831261101243338,1.0,0.0017761989342806395
Established,Medium engagement,No observed revenue,No observed value,771,0.9092088197146563,0.0,0.0,0.0,0.0,7.468974387866356,1.4319066147859922,0.0038910505836575876,0.0
Long-tenure,Medium engagement,No observed revenue,No observed value,1317,0.914958238420653,0.0,0.0,0.0,0.0,7.537496863486134,1.4502657555049354,0.010630220197418374,0.0015186028853454822
Long-tenure,High engagement,No observed revenue,No observed value,15239,0.7159262418793884,0.0,0.0,0.0,0.0,13.213580731437961,12.84237810879979,0.030185707723603912,0.00032810551873482514
Early lifecycle,High engagement,No observed revenue,No observed value,3206,0.7442295695570805,0.0,0.0,0.0,0.0,12.949939349841843,11.56768558951965,0.017155333749220212,0.002495321272613849
Unknown tenure,No observed activity,No observed revenue,No observed value,8670,0.9806228373702423,0.0,0.0,0.0,0.0,0.0,0.0,0.004036908881199538,0.0029988465974625142
Established,High engagement,No observed revenue,No observed value,9003,0.7053204487393091,0.0,0.0,0.0,0.0,13.175465871019728,12.86015772520271,0.021548372764634012,0.0005553704320781962
