strategy_name,scenario_name,targeted_customers,adjusted_expected_response_rate,break_even_response_rate,response_headroom,campaign_cost_proxy,expected_saved_clv_proxy,net_save_value_proxy,roi_proxy,break_even_readout
Tiers 1 to 3 targeted save,Base,7143,0.14000000000000007,0.001840887326046445,0.13815911267395362,128574.0,9778088.93858714,9649514.93858714,75.05028185004076,Comfortable response-rate cushion
"Top 5,000 by net save value",Base,5000,0.14,0.001640522999876986,0.13835947700012302,90000.0,7680477.506834594,7590477.506834594,84.33863896482882,Comfortable response-rate cushion
Tier 1 plus Tier 2 premium save,Base,3571,0.14000000000000007,0.0015450676382064638,0.1384549323617936,64278.0,5824288.709098893,5760010.709098893,89.61091989637035,Comfortable response-rate cushion
Tier 1 executive save only,Base,714,0.14000000000000004,0.0013098446549431211,0.1386901553450569,12852.0,1373659.0772118184,1360807.0772118184,105.8829036112526,Comfortable response-rate cushion
"Top 50,000 by net save value",Budget constrained,50000,0.10302264000000004,0.006240622119938229,0.09678201788006181,763700.8500000001,14855018.71800623,14091317.868006231,18.45135810442823,Comfortable response-rate cushion
All positive ROI paid-offer candidates,Budget constrained,71437,0.08827772022901301,0.0070073571806421025,0.0812703630483709,870412.1250000001,14958188.057910563,14087775.932910563,16.185178869045007,Comfortable response-rate cushion
Critical risk elite/high value,Budget constrained,43405,0.11294072111507895,0.006205130936202693,0.10673559017887627,743952.0000000001,14760069.562523335,14016117.562523335,18.84008318080109,Comfortable response-rate cushion
Premium save budget only,Budget constrained,45511,0.11538612643097279,0.0068040390768466545,0.10858208735412614,797144.7000000002,14679805.972882193,13882661.272882193,17.415484632692397,Comfortable response-rate cushion
Immediate premium save offer only,Budget constrained,36407,0.12600000000000006,0.006234946828367945,0.11976505317163211,720858.6000000001,14567595.5385453,13846736.9385453,19.20867273907157,Comfortable response-rate cushion
"Top 25,000 by net save value",Budget constrained,25000,0.12600000000000006,0.004479091419695614,0.12152090858030444,495000.0000000001,13924699.041806677,13429699.041806677,27.130705134962977,Comfortable response-rate cushion
Tiers 1 to 4 test-and-learn,Budget constrained,14287,0.12600000000000006,0.00291217716783864,0.12308782283216142,282882.6000000001,12239367.84946834,11956485.24946834,42.26659840325399,Comfortable response-rate cushion
"Top 10,000 by net save value",Budget constrained,10000,0.12600000000000006,0.0023571568676513588,0.1236428431323487,198000.00000000006,10583937.090643393,10385937.090643393,52.45422773052217,Comfortable response-rate cushion
Tiers 1 to 3 targeted save,Budget constrained,7143,0.12600000000000006,0.00202497605865109,0.12397502394134896,141431.40000000002,8800280.044728426,8658848.644728426,61.22295787730606,Comfortable response-rate cushion
"Top 5,000 by net save value",Budget constrained,5000,0.12600000000000006,0.0018045752998646846,0.12419542470013537,99000.0,6912429.756151135,6813429.756151135,68.82252278940541,Comfortable response-rate cushion
Tier 1 plus Tier 2 premium save,Budget constrained,3571,0.12600000000000008,0.0016995744020271105,0.12430042559797297,70705.80000000002,5241859.838189005,5171154.038189005,73.13620718793938,Comfortable response-rate cushion
Tier 1 executive save only,Budget constrained,714,0.12600000000000003,0.0014408291204374335,0.1245591708795626,14137.200000000003,1236293.1694906368,1222155.9694906368,86.44964840920667,Comfortable response-rate cushion
"Top 50,000 by net save value",Conservative,50000,0.08012872,0.00709161604538435,0.07303710395461566,867841.875,11553903.447338177,10686061.572338177,12.313373991475322,Comfortable response-rate cushion
All positive ROI paid-offer candidates,Conservative,71437,0.06866044906701009,0.007962905887093297,0.060697543179916796,989104.6875,11634146.267263768,10645041.579763768,10.762300203701914,Comfortable response-rate cushion
Critical risk elite/high value,Conservative,43405,0.08784278308950583,0.007051285154775787,0.08079149793473003,845400.0,11480054.104184814,10634654.104184814,12.579434710414969,Comfortable response-rate cushion
Premium save budget only,Conservative,45511,0.08974476500186769,0.007731862587325742,0.08201290241454195,905846.25,11417626.867797257,10511780.617797257,11.60437614859835,Comfortable response-rate cushion
Immediate premium save offer only,Conservative,36407,0.09800000000000002,0.007085166850418118,0.0909148331495819,819157.5,11330352.08553523,10511194.58553523,12.83171378585343,Comfortable response-rate cushion
"Top 25,000 by net save value",Conservative,25000,0.09800000000000002,0.005089876613290469,0.09291012338670955,562500.0,10830321.476960747,10267821.476960747,18.253904847930215,Comfortable response-rate cushion
Tiers 1 to 4 test-and-learn,Conservative,14287,0.09800000000000002,0.0033092922361802717,0.09469070776381974,321457.5,9519508.327364262,9198050.827364262,28.613582907116065,Comfortable response-rate cushion
"Top 10,000 by net save value",Conservative,10000,0.09800000000000002,0.0026785873496038156,0.0953214126503962,225000.0,8231951.070500416,8006951.070500416,35.58644920222407,Comfortable response-rate cushion
Tiers 1 to 3 targeted save,Conservative,7143,0.098,0.0023011091575580564,0.09569889084244194,160717.5,6844662.257010996,6683944.757010996,41.58815783602281,Comfortable response-rate cushion
"Top 5,000 by net save value",Conservative,5000,0.09799999999999998,0.0020506537498462324,0.09594934625015375,112500.0,5376334.254784214,5263834.254784214,46.78963782030413,Comfortable response-rate cushion
Tier 1 plus Tier 2 premium save,Conservative,3571,0.09799999999999999,0.0019313345477580796,0.09606866545224191,80347.5,4077002.0963692246,3996654.5963692246,49.74211514196739,Comfortable response-rate cushion
Tier 1 executive save only,Conservative,714,0.09799999999999999,0.0016373058186789013,0.09636269418132108,16065.0,961561.3540482728,945496.3540482728,58.85442602230145,Comfortable response-rate cushion
All positive ROI paid-offer candidates,Upside,71437,0.12260794476251802,0.005733292238707173,0.11687465252381085,712155.3749999999,20775261.191542443,20063105.816542443,28.172371536959115,Comfortable response-rate cushion
"Top 50,000 by net save value",Upside,50000,0.143087,0.0051059635526767315,0.13798103644732326,624846.1499999999,20631970.441675313,20007124.291675314,32.0192807328257,Comfortable response-rate cushion
Critical risk elite/high value,Upside,43405,0.1568621126598318,0.005076925311438565,0.15178518734839325,608687.9999999999,20500096.614615735,19891408.614615735,32.67915354765617,Comfortable response-rate cushion
Premium save budget only,Upside,45511,0.16025850893190657,0.005566941062874533,0.15469156786903204,652209.2999999998,20388619.406780813,19736410.106780812,30.26085354315067,Comfortable response-rate cushion
Immediate premium save offer only,Upside,36407,0.17499999999999996,0.005101320132301044,0.1698986798676989,589793.3999999998,20232771.58131291,19642978.18131291,33.30484569904125,Comfortable response-rate cushion
"Top 25,000 by net save value",Upside,25000,0.17499999999999996,0.0036647111615691367,0.17133528883843083,404999.9999999999,19339859.780287042,18934859.780287042,46.75274019823962,Comfortable response-rate cushion
Tiers 1 to 4 test-and-learn,Upside,14287,0.17499999999999996,0.002382690410049795,0.17261730958995017,231449.39999999994,16999122.01315047,16767672.613150468,72.44638617836327,Comfortable response-rate cushion
"Top 10,000 by net save value",Upside,10000,0.17499999999999996,0.0019285828917147466,0.17307141710828522,161999.99999999994,14699912.625893598,14537912.625893598,89.74020139440496,Comfortable response-rate cushion
Tiers 1 to 3 targeted save,Upside,7143,0.17499999999999996,0.0016567985934417997,0.17334320140655815,115716.59999999995,12222611.173233923,12106894.573233923,104.62539145838997,Comfortable response-rate cushion
"Top 5,000 by net save value",Upside,5000,0.17500000000000002,0.0014764706998892875,0.17352352930011072,81000.0,9600596.883543242,9519596.883543242,117.52588745115114,Comfortable response-rate cushion
Tier 1 plus Tier 2 premium save,Upside,3571,0.175,0.001390560874385817,0.17360943912561416,57850.19999999998,7280360.886373617,7222510.686373617,124.84849985606996,Comfortable response-rate cushion
Tier 1 executive save only,Upside,714,0.17500000000000002,0.0011788601894488087,0.1738211398105512,11566.799999999997,1717073.846514773,1705507.046514773,147.44847723785088,Comfortable response-rate cushion
